"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"eggs","french fries","low fat yogurt","honey","","","","","","","","","","","","","","","",""
"mineral water","energy bar","cake","french fries","","","","","","","","","","","","","","","",""
"mineral water","eggs","low fat yogurt","","","","","","","","","","","","","","","","",""
"milk","green beans","mint","","","","","","","","","","","","","","","","",""
"burgers","mineral water","green grapes","barbecue sauce","oatmeal","chocolate","tomato juice","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"grated cheese","spaghetti","milk","honey","escalope","fresh bread","green tea","","","","","","","","","","","","",""
"turkey","grated cheese","frozen vegetables","mineral water","olive oil","salmon","nonfat milk","cooking oil","low fat yogurt","","","","","","","","","","",""
"grated cheese","spinach","eggs","cooking oil","green tea","salad","","","","","","","","","","","","","",""
"ham","spaghetti","chocolate","eggs","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"chocolate","oil","cooking oil","pancakes","light mayo","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"tomatoes","soup","french fries","escalope","hand protein bar","tomato juice","","","","","","","","","","","","","",""
"turkey","ground beef","chocolate","cookies","tomato juice","","","","","","","","","","","","","","",""
"ham","ground beef","spaghetti","frozen smoothie","champagne","","","","","","","","","","","","","","",""
"shrimp","cake","","","","","","","","","","","","","","","","","",""
"burgers","ground beef","yams","milk","spinach","whole wheat rice","french fries","light mayo","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"tomatoes","","","","","","","","","","","","","","","","","","",""
"gums","","","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","mineral water","chocolate","escalope","","","","","","","","","","","","","","",""
"ground beef","spaghetti","cider","cooking oil","cookies","","","","","","","","","","","","","","",""
"vegetables mix","escalope","","","","","","","","","","","","","","","","","",""
"soup","blueberries","cooking oil","chocolate","cookies","champagne","salt","","","","","","","","","","","","",""
"hot dogs","energy drink","fresh bread","low fat yogurt","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","parmesan cheese","gums","chocolate","french fries","strawberries","","","","","","","","","","","","",""
"chocolate","red wine","spaghetti","salmon","eggs","cake","","","","","","","","","","","","","",""
"fresh tuna","almonds","","","","","","","","","","","","","","","","","",""
"milk","","","","","","","","","","","","","","","","","","",""
"ground beef","almonds","french fries","escalope","","","","","","","","","","","","","","","",""
"herb & pepper","shrimp","ground beef","mineral water","eggs","cake","green tea","melons","","","","","","","","","","","",""
"frozen vegetables","spaghetti","green tea","","","","","","","","","","","","","","","","",""
"mineral water","eggs","cake","","","","","","","","","","","","","","","","",""
"burgers","shrimp","whole wheat pasta","spaghetti","french wine","eggs","chocolate","","","","","","","","","","","","",""
"shrimp","tomatoes","ground beef","mineral water","oil","","","","","","","","","","","","","","",""
"turkey","spaghetti","","","","","","","","","","","","","","","","","",""
"cake","french fries","","","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"salmon","chicken","green tea","","","","","","","","","","","","","","","","",""
"turkey","ham","frozen vegetables","pepper","oil","extra dark chocolate","tea","magazines","","","","","","","","","","","",""
"whole wheat rice","chocolate bread","antioxydant juice","","","","","","","","","","","","","","","","",""
"pepper","spaghetti","mineral water","milk","pancakes","cake","white wine","green tea","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"shrimp","pepper","mineral water","soup","milk","eggs","rice","barbecue sauce","clothes accessories","cookies","","","","","","","","","",""
"salt","","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"herb & pepper","ground beef","spaghetti","salmon","muffins","eggs","chicken","","","","","","","","","","","","",""
"mineral water","cake","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"energy bar","eggs","","","","","","","","","","","","","","","","","",""
"burgers","shrimp","mineral water","almonds","vegetables mix","honey","strawberries","candy bars","","","","","","","","","","","",""
"black tea","french fries","champagne","","","","","","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"burgers","sandwich","","","","","","","","","","","","","","","","","",""
"chocolate","ground beef","spaghetti","mineral water","salmon","eggs","cooking oil","french fries","","","","","","","","","","","",""
"frozen vegetables","ground beef","spaghetti","fresh bread","","","","","","","","","","","","","","","",""
"frozen vegetables","almonds","pancakes","soda","","","","","","","","","","","","","","","",""
"cookies","energy drink","","","","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"strawberries","","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"mineral water","almonds","cottage cheese","light mayo","","","","","","","","","","","","","","","",""
"red wine","ground beef","mineral water","salmon","eggs","pet food","","","","","","","","","","","","","",""
"cooking oil","champagne","","","","","","","","","","","","","","","","","",""
"grated cheese","shrimp","parmesan cheese","ground beef","mineral water","mint","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"cookies","mushroom cream sauce","","","","","","","","","","","","","","","","","",""
"burgers","pepper","soup","milk","pancakes","green tea","","","","","","","","","","","","","",""
"grated cheese","red wine","frozen vegetables","tomatoes","spaghetti","olive oil","energy bar","honey","","","","","","","","","","","",""
"chicken","brownies","asparagus","cauliflower","green tea","","","","","","","","","","","","","","",""
"tomatoes","olive oil","","","","","","","","","","","","","","","","","",""
"burgers","whole wheat pasta","yams","","","","","","","","","","","","","","","","",""
"frozen smoothie","","","","","","","","","","","","","","","","","","",""
"burgers","ham","red wine","","","","","","","","","","","","","","","","",""
"strong cheese","vegetables mix","french fries","green tea","","","","","","","","","","","","","","","",""
"tomatoes","ground beef","butter","flax seed","nonfat milk","light mayo","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"ham","vegetables mix","frozen smoothie","","","","","","","","","","","","","","","","",""
"eggs","cake","barbecue sauce","french fries","body spray","","","","","","","","","","","","","","",""
"cookies","green tea","","","","","","","","","","","","","","","","","",""
"turkey","eggs","white wine","green tea","","","","","","","","","","","","","","","",""
"mineral water","cereals","antioxydant juice","green tea","french fries","champagne","pancakes","","","","","","","","","","","","",""
"chocolate","french fries","strawberries","fresh bread","","","","","","","","","","","","","","","",""
"fresh tuna","olive oil","energy bar","pancakes","frozen smoothie","","","","","","","","","","","","","","",""
"red wine","","","","","","","","","","","","","","","","","","",""
"pickles","french fries","yogurt cake","","","","","","","","","","","","","","","","",""
"grated cheese","tomatoes","ground beef","soup","milk","olive oil","butter","pancakes","bug spray","cooking oil","ketchup","","","","","","","","",""
"pickles","","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","salmon","gums","burger sauce","clothes accessories","hot dogs","cottage cheese","mint","","","","","","","","","","",""
"burgers","milk","hot dogs","","","","","","","","","","","","","","","","",""
"turkey","frozen vegetables","ground beef","spaghetti","soup","olive oil","shallot","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"tomatoes","champagne","","","","","","","","","","","","","","","","","",""
"chocolate","french fries","body spray","pancakes","green tea","","","","","","","","","","","","","","",""
"spaghetti","black tea","","","","","","","","","","","","","","","","","",""
"burgers","frozen vegetables","tomatoes","soup","energy bar","escalope","","","","","","","","","","","","","",""
"clothes accessories","cookies","","","","","","","","","","","","","","","","","",""
"herb & pepper","ground beef","spaghetti","chocolate","french fries","","","","","","","","","","","","","","",""
"milk","fromage blanc","salmon","eggs","","","","","","","","","","","","","","","",""
"mineral water","avocado","","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","mineral water","soup","milk","salmon","green grapes","eggs","french fries","shallot","brownies","light mayo","melons","toothpaste","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"herb & pepper","mineral water","milk","whole wheat rice","salt","white wine","","","","","","","","","","","","","",""
"spaghetti","pancakes","fresh bread","white wine","","","","","","","","","","","","","","","",""
"shrimp","chocolate","mushroom cream sauce","candy bars","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"mineral water","cooking oil","chocolate","","","","","","","","","","","","","","","","",""
"milk","cookies","","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"eggs","chocolate","french fries","","","","","","","","","","","","","","","","",""
"french fries","strawberries","","","","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"spaghetti","cooking oil","","","","","","","","","","","","","","","","","",""
"burgers","mineral water","","","","","","","","","","","","","","","","","",""
"eggs","french fries","","","","","","","","","","","","","","","","","",""
"herb & pepper","eggs","clothes accessories","french fries","","","","","","","","","","","","","","","",""
"parmesan cheese","","","","","","","","","","","","","","","","","","",""
"meatballs","","","","","","","","","","","","","","","","","","",""
"tomatoes","mineral water","olive oil","","","","","","","","","","","","","","","","",""
"turkey","butter","oil","chocolate","cookies","","","","","","","","","","","","","","",""
"herb & pepper","milk","cake","french fries","yogurt cake","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"milk","","","","","","","","","","","","","","","","","","",""
"mineral water","energy bar","","","","","","","","","","","","","","","","","",""
"olive oil","","","","","","","","","","","","","","","","","","",""
"burgers","yams","mineral water","whole wheat rice","chocolate","low fat yogurt","","","","","","","","","","","","","",""
"brownies","","","","","","","","","","","","","","","","","","",""
"burgers","eggs","pancakes","","","","","","","","","","","","","","","","",""
"burgers","ham","chocolate","","","","","","","","","","","","","","","","",""
"tomatoes","spaghetti","mineral water","","","","","","","","","","","","","","","","",""
"mineral water","milk","oil","chocolate","escalope","hot dogs","yogurt cake","","","","","","","","","","","","",""
"ground beef","spaghetti","candy bars","","","","","","","","","","","","","","","","",""
"parmesan cheese","hot dogs","energy drink","light mayo","","","","","","","","","","","","","","","",""
"yogurt cake","","","","","","","","","","","","","","","","","","",""
"olive oil","cooking oil","cottage cheese","","","","","","","","","","","","","","","","",""
"spaghetti","pancakes","","","","","","","","","","","","","","","","","",""
"shrimp","ground beef","pancakes","cooking oil","white wine","","","","","","","","","","","","","","",""
"light mayo","","","","","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"grated cheese","butter","chocolate","french fries","","","","","","","","","","","","","","","",""
"fresh tuna","frozen vegetables","strong cheese","cottage cheese","tomato juice","low fat yogurt","","","","","","","","","","","","","",""
"frozen smoothie","","","","","","","","","","","","","","","","","","",""
"turkey","mineral water","fromage blanc","muffins","eggplant","tomato juice","magazines","","","","","","","","","","","","",""
"turkey","blueberries","white wine","","","","","","","","","","","","","","","","",""
"chocolate","tomatoes","ground beef","tomato sauce","mineral water","salmon","pancakes","","","","","","","","","","","","",""
"burgers","red wine","spaghetti","milk","chicken","ham","chocolate","french fries","","","","","","","","","","","",""
"red wine","spaghetti","mineral water","cider","french fries","cookies","pancakes","energy drink","","","","","","","","","","","",""
"burgers","ham","tomatoes","spaghetti","milk","eggs","whole wheat rice","chocolate","french fries","frozen smoothie","low fat yogurt","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","","","","","","","","","","","","","","","","","","",""
"spaghetti","frozen smoothie","hot dogs","fresh bread","","","","","","","","","","","","","","","",""
"tomatoes","mineral water","eggplant","french fries","","","","","","","","","","","","","","","",""
"whole wheat pasta","mineral water","french wine","fromage blanc","pancakes","eggs","honey","cooking oil","chicken","brownies","","","","","","","","","",""
"burgers","ground beef","spaghetti","mineral water","avocado","french fries","brownies","green tea","","","","","","","","","","","",""
"ground beef","spaghetti","carrots","chocolate","frozen smoothie","","","","","","","","","","","","","","",""
"green tea","salad","fresh bread","","","","","","","","","","","","","","","","",""
"pepper","spaghetti","milk","olive oil","butter","chicken","","","","","","","","","","","","","",""
"turkey","mineral water","green tea","protein bar","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"eggs","extra dark chocolate","french fries","","","","","","","","","","","","","","","","",""
"eggs","whole weat flour","eggplant","strawberries","low fat yogurt","","","","","","","","","","","","","","",""
"muffins","eggs","","","","","","","","","","","","","","","","","",""
"milk","eggs","cake","french fries","","","","","","","","","","","","","","","",""
"rice","chocolate bread","body spray","gluten free bar","fresh bread","","","","","","","","","","","","","","",""
"milk","butter","chicken","eggs","whole wheat rice","cake","carrots","eggplant","magazines","","","","","","","","","","",""
"burgers","grated cheese","shrimp","pasta","avocado","honey","white wine","toothpaste","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"milk","vegetables mix","cottage cheese","pancakes","green tea","","","","","","","","","","","","","","",""
"tomatoes","ground beef","chocolate","butter","eggs","green tea","french fries","escalope","mushroom cream sauce","","","","","","","","","","",""
"eggs","chocolate","escalope","","","","","","","","","","","","","","","","",""
"chocolate","asparagus","","","","","","","","","","","","","","","","","",""
"burgers","grated cheese","spaghetti","avocado","milk","oil","french fries","","","","","","","","","","","","",""
"turkey","spaghetti","milk","whole wheat rice","chocolate","","","","","","","","","","","","","","",""
"burgers","tomatoes","ground beef","mineral water","eggs","cake","green tea","","","","","","","","","","","","",""
"chocolate","ground beef","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"spaghetti","yams","whole wheat rice","cake","low fat yogurt","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"mineral water","eggs","","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","mineral water","milk","olive oil","light cream","cottage cheese","green tea","","","","","","","","","","","",""
"mineral water","fromage blanc","whole wheat rice","cake","french fries","","","","","","","","","","","","","","",""
"tomatoes","ground beef","butter","green grapes","pancakes","cooking oil","carrots","","","","","","","","","","","","",""
"burgers","ham","grated cheese","herb & pepper","ground beef","spaghetti","butter","light cream","protein bar","green tea","","","","","","","","","",""
"chicken","eggs","french fries","pancakes","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"yams","mineral water","soup","milk","pancakes","whole wheat rice","barbecue sauce","carrots","chocolate","champagne","","","","","","","","","",""
"grated cheese","frozen vegetables","ground beef","pepper","spaghetti","green tea","","","","","","","","","","","","","",""
"mineral water","milk","escalope","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"chocolate","frozen vegetables","light mayo","green tea","","","","","","","","","","","","","","","",""
"turkey","herb & pepper","spaghetti","pancakes","green tea","","","","","","","","","","","","","","",""
"eggs","french fries","","","","","","","","","","","","","","","","","",""
"eggs","cake","french fries","","","","","","","","","","","","","","","","",""
"grated cheese","chocolate","french fries","tomato juice","","","","","","","","","","","","","","","",""
"turkey","vegetables mix","gums","green tea","","","","","","","","","","","","","","","",""
"burgers","ground beef","milk","whole wheat rice","","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","pepper","spaghetti","cake","chocolate","low fat yogurt","","","","","","","","","","","","",""
"ground beef","spaghetti","mineral water","light cream","","","","","","","","","","","","","","","",""
"ground beef","green tea","protein bar","","","","","","","","","","","","","","","","",""
"turkey","red wine","mineral water","pancakes","eggs","whole wheat rice","cooking oil","chocolate","zucchini","","","","","","","","","","",""
"ground beef","spaghetti","milk","chicken","eggs","","","","","","","","","","","","","","",""
"grated cheese","frozen vegetables","ground beef","olive oil","butter","salmon","blueberries","oil","chocolate","light mayo","","","","","","","","","",""
"fresh tuna","herb & pepper","parmesan cheese","milk","olive oil","pancakes","honey","cake","chocolate","","","","","","","","","","",""
"chicken","muffins","honey","yogurt cake","","","","","","","","","","","","","","","",""
"frozen vegetables","","","","","","","","","","","","","","","","","","",""
"herb & pepper","","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","eggs","pet food","","","","","","","","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"eggs","french fries","","","","","","","","","","","","","","","","","",""
"muffins","","","","","","","","","","","","","","","","","","",""
"antioxydant juice","chocolate","","","","","","","","","","","","","","","","","",""
"yogurt cake","","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","hot dogs","","","","","","","","","","","","","","","","",""
"pancakes","cake","","","","","","","","","","","","","","","","","",""
"red wine","tomatoes","mineral water","french wine","pancakes","","","","","","","","","","","","","","",""
"mineral water","chocolate","avocado","eggs","","","","","","","","","","","","","","","",""
"cookies","energy drink","","","","","","","","","","","","","","","","","",""
"champagne","","","","","","","","","","","","","","","","","","",""
"mineral water","milk","","","","","","","","","","","","","","","","","",""
"milk","","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","spaghetti","meatballs","milk","french fries","low fat yogurt","","","","","","","","","","","","","",""
"mineral water","milk","pancakes","extra dark chocolate","low fat yogurt","","","","","","","","","","","","","","",""
"whole wheat pasta","french fries","brownies","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"burgers","butter","cake","cooking oil","eggplant","cereals","brownies","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"butter","escalope","shallot","white wine","","","","","","","","","","","","","","","",""
"tomatoes","ground beef","tomato sauce","mineral water","soup","milk","eggplant","mint","","","","","","","","","","","",""
"shrimp","ground beef","spaghetti","","","","","","","","","","","","","","","","",""
"turkey","eggs","honey","","","","","","","","","","","","","","","","",""
"red wine","french fries","mashed potato","mint","","","","","","","","","","","","","","","",""
"spaghetti","champagne","cottage cheese","pancakes","light mayo","green tea","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"tomato sauce","soup","blueberries","burger sauce","cookies","low fat yogurt","","","","","","","","","","","","","",""
"turkey","ground beef","pepper","spaghetti","honey","cookies","","","","","","","","","","","","","",""
"chocolate","salmon","vegetables mix","green grapes","","","","","","","","","","","","","","","",""
"french fries","cottage cheese","","","","","","","","","","","","","","","","","",""
"eggs","french fries","brownies","low fat yogurt","","","","","","","","","","","","","","","",""
"grated cheese","herb & pepper","shrimp","ground beef","tomato sauce","spaghetti","blueberries","chocolate","escalope","yogurt cake","","","","","","","","","",""
"butter","bug spray","french fries","yogurt cake","green tea","","","","","","","","","","","","","","",""
"milk","yogurt cake","","","","","","","","","","","","","","","","","",""
"milk","chocolate","","","","","","","","","","","","","","","","","",""
"burgers","fresh tuna","eggs","french fries","champagne","","","","","","","","","","","","","","",""
"shrimp","tomatoes","","","","","","","","","","","","","","","","","",""
"burgers","grated cheese","herb & pepper","red wine","parmesan cheese","ground beef","spaghetti","avocado","eggs","clothes accessories","fresh bread","","","","","","","","",""
"parmesan cheese","cake","green tea","","","","","","","","","","","","","","","","",""
"red wine","honey","rice","chocolate","french fries","brownies","body spray","light mayo","","","","","","","","","","","",""
"ground beef","mineral water","flax seed","salmon","eggs","honey","","","","","","","","","","","","","",""
"chocolate","muffins","whole wheat rice","escalope","mashed potato","","","","","","","","","","","","","","",""
"avocado","eggs","brownies","","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"light mayo","","","","","","","","","","","","","","","","","","",""
"cake","escalope","","","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","mineral water","chicken","green grapes","eggs","chocolate","brownies","fresh bread","white wine","","","","","","","","","",""
"pepper","","","","","","","","","","","","","","","","","","",""
"cookies","green tea","","","","","","","","","","","","","","","","","",""
"chicken","cider","","","","","","","","","","","","","","","","","",""
"turkey","eggs","french fries","energy drink","","","","","","","","","","","","","","","",""
"spaghetti","champagne","frozen smoothie","cottage cheese","green tea","","","","","","","","","","","","","","",""
"ground beef","mineral water","pancakes","salad","low fat yogurt","","","","","","","","","","","","","","",""
"french fries","escalope","pasta","mushroom cream sauce","green tea","","","","","","","","","","","","","","",""
"energy drink","","","","","","","","","","","","","","","","","","",""
"dessert wine","frozen vegetables","spaghetti","","","","","","","","","","","","","","","","",""
"french wine","low fat yogurt","","","","","","","","","","","","","","","","","",""
"ham","spaghetti","milk","muffins","frozen smoothie","hot dogs","low fat yogurt","","","","","","","","","","","","",""
"olive oil","chutney","yogurt cake","","","","","","","","","","","","","","","","",""
"fresh tuna","spaghetti","chocolate","olive oil","chicken","french fries","","","","","","","","","","","","","",""
"champagne","fresh bread","","","","","","","","","","","","","","","","","",""
"avocado","french fries","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","milk","corn","","","","","","","","","","","","","","","",""
"milk","low fat yogurt","","","","","","","","","","","","","","","","","",""
"shrimp","tomatoes","soup","clothes accessories","green tea","","","","","","","","","","","","","","",""
"mineral water","mint","","","","","","","","","","","","","","","","","",""
"honey","gums","french fries","","","","","","","","","","","","","","","","",""
"french fries","cookies","","","","","","","","","","","","","","","","","",""
"parmesan cheese","milk","butter","black tea","eggs","frozen smoothie","light mayo","shampoo","low fat yogurt","green tea","","","","","","","","","",""
"chocolate","yogurt cake","","","","","","","","","","","","","","","","","",""
"mineral water","avocado","","","","","","","","","","","","","","","","","",""
"french fries","energy drink","","","","","","","","","","","","","","","","","",""
"black tea","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"turkey","herb & pepper","tomatoes","ground beef","spaghetti","soup","milk","cooking oil","chicken","","","","","","","","","","",""
"red wine","ground beef","mineral water","olive oil","light cream","gluten free bar","low fat yogurt","","","","","","","","","","","","",""
"cookies","honey","","","","","","","","","","","","","","","","","",""
"burgers","frozen vegetables","parmesan cheese","spaghetti","fromage blanc","vegetables mix","pancakes","honey","hot dogs","low fat yogurt","","","","","","","","","",""
"whole wheat pasta","ground beef","mineral water","chocolate","eggs","hot dogs","","","","","","","","","","","","","",""
"grated cheese","ground beef","pepper","spaghetti","mineral water","chocolate","salmon","pancakes","eggs","escalope","cookies","fresh bread","","","","","","","",""
"red wine","yams","mineral water","soup","milk","cake","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"mineral water","chicken","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","","","","","","","","","","","","","","","","","","",""
"mineral water","whole wheat rice","","","","","","","","","","","","","","","","","",""
"champagne","protein bar","","","","","","","","","","","","","","","","","",""
"cake","cookies","green tea","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"red wine","rice","chili","chocolate bread","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"light cream","chicken","","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"chocolate","milk","salmon","spinach","carrots","","","","","","","","","","","","","","",""
"strong cheese","protein bar","","","","","","","","","","","","","","","","","",""
"melons","","","","","","","","","","","","","","","","","","",""
"ham","ground beef","french wine","whole wheat rice","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"eggs","whole wheat rice","chocolate","","","","","","","","","","","","","","","","",""
"milk","bacon","eggs","french fries","fresh bread","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"shrimp","pepper","milk","almonds","eggs","escalope","green tea","","","","","","","","","","","","",""
"milk","energy bar","frozen smoothie","protein bar","asparagus","","","","","","","","","","","","","","",""
"turkey","mineral water","chicken","yogurt cake","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"tomatoes","ground beef","mineral water","milk","honey","french fries","pancakes","tomato juice","","","","","","","","","","","",""
"french fries","pancakes","gluten free bar","","","","","","","","","","","","","","","","",""
"cookies","green tea","","","","","","","","","","","","","","","","","",""
"cooking oil","fresh bread","","","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","pepper","butter","mint green tea","chocolate","french fries","frozen smoothie","escalope","hot dogs","low fat yogurt","","","","","","","","",""
"frozen vegetables","ground beef","spaghetti","chocolate","french fries","escalope","pancakes","tomato juice","","","","","","","","","","","",""
"burgers","pancakes","green tea","french fries","","","","","","","","","","","","","","","",""
"mushroom cream sauce","yogurt cake","","","","","","","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"herb & pepper","nonfat milk","eggs","cooking oil","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","mineral water","soup","milk","salmon","vegetables mix","honey","mint green tea","champagne","escalope","tomato juice","","","","","","","",""
"fresh tuna","mineral water","french wine","cereals","","","","","","","","","","","","","","","",""
"spaghetti","milk","fromage blanc","ketchup","chocolate","babies food","","","","","","","","","","","","","",""
"salmon","cooking oil","asparagus","","","","","","","","","","","","","","","","",""
"grated cheese","olive oil","eggs","oil","french fries","cottage cheese","pancakes","light mayo","","","","","","","","","","","",""
"white wine","","","","","","","","","","","","","","","","","","",""
"mineral water","avocado","milk","honey","","","","","","","","","","","","","","","",""
"turkey","grated cheese","frozen vegetables","avocado","carrots","hot dogs","green tea","","","","","","","","","","","","",""
"cookies","yogurt cake","","","","","","","","","","","","","","","","","",""
"milk","energy bar","vegetables mix","cottage cheese","","","","","","","","","","","","","","","",""
"mineral water","vegetables mix","chocolate","","","","","","","","","","","","","","","","",""
"whole wheat pasta","olive oil","pancakes","","","","","","","","","","","","","","","","",""
"turkey","shrimp","frozen vegetables","mineral water","honey","strawberries","","","","","","","","","","","","","",""
"frozen vegetables","mineral water","chocolate bread","whole weat flour","pancakes","low fat yogurt","","","","","","","","","","","","","",""
"shrimp","green tea","","","","","","","","","","","","","","","","","",""
"burgers","shrimp","chocolate","pancakes","eggs","cooking oil","french fries","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"cookies","babies food","","","","","","","","","","","","","","","","","",""
"eggplant","","","","","","","","","","","","","","","","","","",""
"herb & pepper","red wine","whole wheat pasta","cake","tomato juice","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"grated cheese","herb & pepper","spaghetti","milk","green tea","","","","","","","","","","","","","","",""
"spaghetti","olive oil","eggs","cake","whole weat flour","pancakes","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"spaghetti","eggplant","french fries","green tea","","","","","","","","","","","","","","","",""
"pepper","","","","","","","","","","","","","","","","","","",""
"ground beef","tomato sauce","mineral water","soup","salmon","green grapes","whole weat flour","frozen smoothie","","","","","","","","","","","",""
"burgers","ham","chocolate","pancakes","cereals","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"burgers","brownies","","","","","","","","","","","","","","","","","",""
"turkey","burgers","grated cheese","pepper","spaghetti","eggs","gums","low fat yogurt","green tea","","","","","","","","","","",""
"herb & pepper","spaghetti","","","","","","","","","","","","","","","","","",""
"tomatoes","honey","green tea","french fries","frozen smoothie","escalope","sandwich","","","","","","","","","","","","",""
"yogurt cake","candy bars","","","","","","","","","","","","","","","","","",""
"fresh tuna","spaghetti","french wine","cake","strawberries","","","","","","","","","","","","","","",""
"grated cheese","energy bar","","","","","","","","","","","","","","","","","",""
"shrimp","spaghetti","mineral water","cooking oil","escalope","low fat yogurt","","","","","","","","","","","","","",""
"burgers","grated cheese","champagne","","","","","","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"eggs","champagne","","","","","","","","","","","","","","","","","",""
"hot dogs","shampoo","","","","","","","","","","","","","","","","","",""
"mineral water","chocolate","soup","milk","olive oil","eggs","honey","","","","","","","","","","","","",""
"frozen vegetables","mineral water","","","","","","","","","","","","","","","","","",""
"turkey","tomatoes","ground beef","soup","milk","butter","honey","cake","mint green tea","brownies","salt","","","","","","","","",""
"avocado","whole wheat rice","","","","","","","","","","","","","","","","","",""
